treatment,replicate,population,timestep,abundance
1,1,1,1,0.9754453280153877
1,1,1,2,0.8162760813172607
1,1,1,3,0.98428112130257
1,1,1,4,0.8374295019984137
1,1,1,5,0.9460886097530165
1,1,1,6,0.9607942143640855
1,1,1,7,1.0036940833958226
1,1,1,8,0.7898175528701215
1,1,1,9,0.8285794354066096
1,1,1,10,0.7480245333837457
1,1,1,11,0.9788479186836183
1,1,1,12,1.010134395933406
1,1,1,13,1.0192916615858063
1,1,1,14,1.2697996489078056
1,1,1,15,1.3335207018104271
1,1,1,16,1.3019397221338405
1,1,1,17,1.2407824133480332
1,1,1,18,1.1632356621945483
1,1,1,19,1.1891155803558142
1,1,1,20,0.8403987287576271
1,1,1,21,0.6433185035856334
1,1,1,22,0.8665826218320184
1,1,1,23,0.8462544158983838
1,1,1,24,0.8958573871569725
1,1,1,25,0.8183595646349312
1,1,1,26,1.2724997018969568
1,1,1,27,1.1950339939096712
1,1,1,28,0.6932211026108732
1,1,1,29,0.8875295046528562
1,1,1,30,0.8448115148866102
1,1,2,1,0.8122748205570965
1,1,2,2,0.9883625027743538
1,1,2,3,0.8641836188981243
1,1,2,4,0.7947725977092032
1,1,2,5,1.0273178847180189
1,1,2,6,1.2831104765961459
1,1,2,7,1.4020977232183889
1,1,2,8,0.8923499051211093
1,1,2,9,0.7358310526172507
1,1,2,10,0.7418916057432562
1,1,2,11,0.9031838666521984
1,1,2,12,0.9722253006310346
1,1,2,13,0.9206216852684402
1,1,2,14,0.9266287014442098
1,1,2,15,1.09649066211215
1,1,2,16,1.1670976408022147
1,1,2,17,1.0847796510928664
1,1,2,18,1.1882099463564444
1,1,2,19,1.022230317923661
1,1,2,20,0.7467208750113676
1,1,2,21,0.7206201786009538
1,1,2,22,0.7623030013451865
1,1,2,23,0.8159432186110006
1,1,2,24,0.9641583891357574
1,1,2,25,1.2573804144918148
1,1,2,26,1.3387389778334504
1,1,2,27,1.0795008158529573
1,1,2,28,0.8161636720762048
1,1,2,29,0.9163599441828137
1,1,2,30,0.6569775681941631
2,1,1,1,0.8794180402180258
2,1,1,2,1.1816600136756519
2,1,1,3,1.2134802240948237
2,1,1,4,0.790658912628446
2,1,1,5,0.8951958372150891
2,1,1,6,1.0219207868619538
2,1,1,7,0.5820702993741197
2,1,1,8,0.847607659527926
2,1,1,9,0.8413156866425456
2,1,1,10,1.1600297648443387
2,1,1,11,1.1032910265197249
2,1,1,12,0.8344634064067861
2,1,1,13,1.0958112377470857
2,1,1,14,0.9986404848581043
2,1,1,15,1.1113225499317734
2,1,1,16,0.7530215721389303
2,1,1,17,1.0505917889985297
2,1,1,18,1.0364666134695595
2,1,1,19,1.1033155044378082
2,1,1,20,0.9398978478777699
2,1,1,21,0.8475961751071012
2,1,1,22,0.7892530023758569
2,1,1,23,1.1233716939488165
2,1,1,24,0.8330221476189494
2,1,1,25,0.6805666816559021
2,1,1,26,1.1660162535531522
2,1,1,27,0.8546318564460216
2,1,1,28,1.0503738249497323
2,1,1,29,1.2912625730563905
2,1,1,30,0.903697910977685
2,1,2,1,0.9722823033495094
2,1,2,2,1.2676927916764142
2,1,2,3,0.8702069463384782
2,1,2,4,1.2633852744039331
2,1,2,5,1.0337853579176228
2,1,2,6,0.7958472911696356
2,1,2,7,0.8805975627548828
2,1,2,8,0.7390070733667927
2,1,2,9,0.6806402494553279
2,1,2,10,0.9523766894264507
2,1,2,11,0.7541669298160336
2,1,2,12,0.8258924613706545
2,1,2,13,0.9727007208693286
2,1,2,14,0.8903693732494049
2,1,2,15,0.761457435852023
2,1,2,16,0.7470909538753517
2,1,2,17,0.809246735895671
2,1,2,18,1.1685885389329687
2,1,2,19,1.185534077304572
2,1,2,20,0.9042528971360686
2,1,2,21,0.8577158753193009
2,1,2,22,0.8274255332142332
2,1,2,23,0.7318219455811901
2,1,2,24,0.9800711855056652
2,1,2,25,0.8107558134733538
2,1,2,26,1.0892160575640424
2,1,2,27,0.9257427162165441
2,1,2,28,0.8305530976757448
2,1,2,29,0.8735845131057024
2,1,2,30,0.997394632316876
2,1,3,1,0.7202986799049003
2,1,3,2,0.9767162151657669
2,1,3,3,0.9833418956126949
2,1,3,4,1.0200930482589743
2,1,3,5,0.8821031125661256
2,1,3,6,1.1523836225355606
2,1,3,7,0.9942045017534169
2,1,3,8,0.6271170872064157
2,1,3,9,0.9984902314180506
2,1,3,10,0.8772903325145607
2,1,3,11,1.0239766614042414
2,1,3,12,0.9618536103091611
2,1,3,13,0.9085949087944888
2,1,3,14,1.0793533779505449
2,1,3,15,0.9986565199620471
2,1,3,16,1.3399736070272306
2,1,3,17,1.0997810872763616
2,1,3,18,0.8743362004064876
2,1,3,19,0.807721888629982
2,1,3,20,0.9342109762991857
2,1,3,21,1.3709901974558976
2,1,3,22,0.8846483259715124
2,1,3,23,1.2642656506318457
2,1,3,24,0.8839659607049714
2,1,3,25,1.0328318137853787
2,1,3,26,0.9478852706306611
2,1,3,27,0.7390353074066639
2,1,3,28,0.8865449252818826
2,1,3,29,1.0663619016546775
2,1,3,30,0.9535166715759914
2,1,4,1,0.8615225340422729
2,1,4,2,0.8207440862921713
2,1,4,3,0.9447470159863556
2,1,4,4,0.9982123949709163
2,1,4,5,1.0124507540403913
