treatment,sigma,num_populations,migration_rate,alpha,lambda,carrying_capacity,metapopulation_generator,number_of_timesteps
1,0.5,2,0.0,0,0.5,1.0,get_random_metapopulation,300
2,0.1,2,0.0,0,0.5,1.0,get_random_metapopulation,300
3,1.0,2,0.0,0,0.5,1.0,get_random_metapopulation,300
4,0.5,2,0.01,0,0.5,1.0,get_random_metapopulation,300
5,0.1,2,0.01,0,0.5,1.0,get_random_metapopulation,300
6,1.0,2,0.01,0,0.5,1.0,get_random_metapopulation,300
7,0.5,2,0.02,0,0.5,1.0,get_random_metapopulation,300
8,0.1,2,0.02,0,0.5,1.0,get_random_metapopulation,300
9,1.0,2,0.02,0,0.5,1.0,get_random_metapopulation,300
10,0.5,2,0.03,0,0.5,1.0,get_random_metapopulation,300
11,0.1,2,0.03,0,0.5,1.0,get_random_metapopulation,300
12,1.0,2,0.03,0,0.5,1.0,get_random_metapopulation,300
13,0.5,2,0.04,0,0.5,1.0,get_random_metapopulation,300
14,0.1,2,0.04,0,0.5,1.0,get_random_metapopulation,300
15,1.0,2,0.04,0,0.5,1.0,get_random_metapopulation,300
16,0.5,2,0.05,0,0.5,1.0,get_random_metapopulation,300
17,0.1,2,0.05,0,0.5,1.0,get_random_metapopulation,300
18,1.0,2,0.05,0,0.5,1.0,get_random_metapopulation,300
19,0.5,2,0.06,0,0.5,1.0,get_random_metapopulation,300
20,0.1,2,0.06,0,0.5,1.0,get_random_metapopulation,300
21,1.0,2,0.06,0,0.5,1.0,get_random_metapopulation,300
22,0.5,2,0.07,0,0.5,1.0,get_random_metapopulation,300
23,0.1,2,0.07,0,0.5,1.0,get_random_metapopulation,300
24,1.0,2,0.07,0,0.5,1.0,get_random_metapopulation,300
25,0.5,2,0.08,0,0.5,1.0,get_random_metapopulation,300
26,0.1,2,0.08,0,0.5,1.0,get_random_metapopulation,300
27,1.0,2,0.08,0,0.5,1.0,get_random_metapopulation,300
28,0.5,2,0.09,0,0.5,1.0,get_random_metapopulation,300
29,0.1,2,0.09,0,0.5,1.0,get_random_metapopulation,300
30,1.0,2,0.09,0,0.5,1.0,get_random_metapopulation,300
31,0.5,2,0.1,0,0.5,1.0,get_random_metapopulation,300
32,0.1,2,0.1,0,0.5,1.0,get_random_metapopulation,300
33,1.0,2,0.1,0,0.5,1.0,get_random_metapopulation,300
34,0.5,2,0.11,0,0.5,1.0,get_random_metapopulation,300
35,0.1,2,0.11,0,0.5,1.0,get_random_metapopulation,300
36,1.0,2,0.11,0,0.5,1.0,get_random_metapopulation,300
37,0.5,2,0.12,0,0.5,1.0,get_random_metapopulation,300
38,0.1,2,0.12,0,0.5,1.0,get_random_metapopulation,300
39,1.0,2,0.12,0,0.5,1.0,get_random_metapopulation,300
40,0.5,2,0.13,0,0.5,1.0,get_random_metapopulation,300
41,0.1,2,0.13,0,0.5,1.0,get_random_metapopulation,300
42,1.0,2,0.13,0,0.5,1.0,get_random_metapopulation,300
43,0.5,2,0.14,0,0.5,1.0,get_random_metapopulation,300
44,0.1,2,0.14,0,0.5,1.0,get_random_metapopulation,300
45,1.0,2,0.14,0,0.5,1.0,get_random_metapopulation,300
46,0.5,2,0.15,0,0.5,1.0,get_random_metapopulation,300
47,0.1,2,0.15,0,0.5,1.0,get_random_metapopulation,300
48,1.0,2,0.15,0,0.5,1.0,get_random_metapopulation,300
49,0.5,2,0.16,0,0.5,1.0,get_random_metapopulation,300
50,0.1,2,0.16,0,0.5,1.0,get_random_metapopulation,300
51,1.0,2,0.16,0,0.5,1.0,get_random_metapopulation,300
52,0.5,2,0.17,0,0.5,1.0,get_random_metapopulation,300
53,0.1,2,0.17,0,0.5,1.0,get_random_metapopulation,300
54,1.0,2,0.17,0,0.5,1.0,get_random_metapopulation,300
55,0.5,2,0.18,0,0.5,1.0,get_random_metapopulation,300
56,0.1,2,0.18,0,0.5,1.0,get_random_metapopulation,300
57,1.0,2,0.18,0,0.5,1.0,get_random_metapopulation,300
58,0.5,2,0.19,0,0.5,1.0,get_random_metapopulation,300
59,0.1,2,0.19,0,0.5,1.0,get_random_metapopulation,300
60,1.0,2,0.19,0,0.5,1.0,get_random_metapopulation,300
61,0.5,2,0.2,0,0.5,1.0,get_random_metapopulation,300
62,0.1,2,0.2,0,0.5,1.0,get_random_metapopulation,300
63,1.0,2,0.2,0,0.5,1.0,get_random_metapopulation,300
64,0.5,2,0.21,0,0.5,1.0,get_random_metapopulation,300
65,0.1,2,0.21,0,0.5,1.0,get_random_metapopulation,300
66,1.0,2,0.21,0,0.5,1.0,get_random_metapopulation,300
67,0.5,2,0.22,0,0.5,1.0,get_random_metapopulation,300
68,0.1,2,0.22,0,0.5,1.0,get_random_metapopulation,300
69,1.0,2,0.22,0,0.5,1.0,get_random_metapopulation,300
70,0.5,2,0.23,0,0.5,1.0,get_random_metapopulation,300
71,0.1,2,0.23,0,0.5,1.0,get_random_metapopulation,300
72,1.0,2,0.23,0,0.5,1.0,get_random_metapopulation,300
73,0.5,2,0.24,0,0.5,1.0,get_random_metapopulation,300
74,0.1,2,0.24,0,0.5,1.0,get_random_metapopulation,300
75,1.0,2,0.24,0,0.5,1.0,get_random_metapopulation,300
76,0.5,2,0.25,0,0.5,1.0,get_random_metapopulation,300
77,0.1,2,0.25,0,0.5,1.0,get_random_metapopulation,300
78,1.0,2,0.25,0,0.5,1.0,get_random_metapopulation,300
79,0.5,2,0.26,0,0.5,1.0,get_random_metapopulation,300
80,0.1,2,0.26,0,0.5,1.0,get_random_metapopulation,300
81,1.0,2,0.26,0,0.5,1.0,get_random_metapopulation,300
82,0.5,2,0.27,0,0.5,1.0,get_random_metapopulation,300
83,0.1,2,0.27,0,0.5,1.0,get_random_metapopulation,300
84,1.0,2,0.27,0,0.5,1.0,get_random_metapopulation,300
85,0.5,2,0.28,0,0.5,1.0,get_random_metapopulation,300
86,0.1,2,0.28,0,0.5,1.0,get_random_metapopulation,300
87,1.0,2,0.28,0,0.5,1.0,get_random_metapopulation,300
88,0.5,2,0.29,0,0.5,1.0,get_random_metapopulation,300
89,0.1,2,0.29,0,0.5,1.0,get_random_metapopulation,300
90,1.0,2,0.29,0,0.5,1.0,get_random_metapopulation,300
91,0.5,2,0.3,0,0.5,1.0,get_random_metapopulation,300
92,0.1,2,0.3,0,0.5,1.0,get_random_metapopulation,300
93,1.0,2,0.3,0,0.5,1.0,get_random_metapopulation,300
94,0.5,2,0.31,0,0.5,1.0,get_random_metapopulation,300
95,0.1,2,0.31,0,0.5,1.0,get_random_metapopulation,300
96,1.0,2,0.31,0,0.5,1.0,get_random_metapopulation,300
97,0.5,2,0.32,0,0.5,1.0,get_random_metapopulation,300
98,0.1,2,0.32,0,0.5,1.0,get_random_metapopulation,300
99,1.0,2,0.32,0,0.5,1.0,get_random_metapopulation,300
100,0.5,2,0.33,0,0.5,1.0,get_random_metapopulation,300
101,0.1,2,0.33,0,0.5,1.0,get_random_metapopulation,300
102,1.0,2,0.33,0,0.5,1.0,get_random_metapopulation,300
103,0.5,2,0.34,0,0.5,1.0,get_random_metapopulation,300
104,0.1,2,0.34,0,0.5,1.0,get_random_metapopulation,300
105,1.0,2,0.34,0,0.5,1.0,get_random_metapopulation,300
106,0.5,2,0.35,0,0.5,1.0,get_random_metapopulation,300
107,0.1,2,0.35,0,0.5,1.0,get_random_metapopulation,300
108,1.0,2,0.35,0,0.5,1.0,get_random_metapopulation,300
109,0.5,2,0.36,0,0.5,1.0,get_random_metapopulation,300
110,0.1,2,0.36,0,0.5,1.0,get_random_metapopulation,300
111,1.0,2,0.36,0,0.5,1.0,get_random_metapopulation,300
112,0.5,2,0.37,0,0.5,1.0,get_random_metapopulation,300
113,0.1,2,0.37,0,0.5,1.0,get_random_metapopulation,300
114,1.0,2,0.37,0,0.5,1.0,get_random_metapopulation,300
115,0.5,2,0.38,0,0.5,1.0,get_random_metapopulation,300
116,0.1,2,0.38,0,0.5,1.0,get_random_metapopulation,300
117,1.0,2,0.38,0,0.5,1.0,get_random_metapopulation,300
118,0.5,2,0.39,0,0.5,1.0,get_random_metapopulation,300
119,0.1,2,0.39,0,0.5,1.0,get_random_metapopulation,300
120,1.0,2,0.39,0,0.5,1.0,get_random_metapopulation,300
121,0.5,2,0.4,0,0.5,1.0,get_random_metapopulation,300
122,0.1,2,0.4,0,0.5,1.0,get_random_metapopulation,300
123,1.0,2,0.4,0,0.5,1.0,get_random_metapopulation,300
124,0.5,2,0.41,0,0.5,1.0,get_random_metapopulation,300
125,0.1,2,0.41,0,0.5,1.0,get_random_metapopulation,300
126,1.0,2,0.41,0,0.5,1.0,get_random_metapopulation,300
127,0.5,2,0.42,0,0.5,1.0,get_random_metapopulation,300
128,0.1,2,0.42,0,0.5,1.0,get_random_metapopulation,300
129,1.0,2,0.42,0,0.5,1.0,get_random_metapopulation,300
130,0.5,2,0.43,0,0.5,1.0,get_random_metapopulation,300
131,0.1,2,0.43,0,0.5,1.0,get_random_metapopulation,300
132,1.0,2,0.43,0,0.5,1.0,get_random_metapopulation,300
133,0.5,2,0.44,0,0.5,1.0,get_random_metapopulation,300
134,0.1,2,0.44,0,0.5,1.0,get_random_metapopulation,300
135,1.0,2,0.44,0,0.5,1.0,get_random_metapopulation,300
136,0.5,2,0.45,0,0.5,1.0,get_random_metapopulation,300
137,0.1,2,0.45,0,0.5,1.0,get_random_metapopulation,300
138,1.0,2,0.45,0,0.5,1.0,get_random_metapopulation,300
139,0.5,2,0.46,0,0.5,1.0,get_random_metapopulation,300
140,0.1,2,0.46,0,0.5,1.0,get_random_metapopulation,300
141,1.0,2,0.46,0,0.5,1.0,get_random_metapopulation,300
142,0.5,2,0.47,0,0.5,1.0,get_random_metapopulation,300
143,0.1,2,0.47,0,0.5,1.0,get_random_metapopulation,300
144,1.0,2,0.47,0,0.5,1.0,get_random_metapopulation,300
145,0.5,2,0.48,0,0.5,1.0,get_random_metapopulation,300
146,0.1,2,0.48,0,0.5,1.0,get_random_metapopulation,300
147,1.0,2,0.48,0,0.5,1.0,get_random_metapopulation,300
148,0.5,2,0.49,0,0.5,1.0,get_random_metapopulation,300
149,0.1,2,0.49,0,0.5,1.0,get_random_metapopulation,300
150,1.0,2,0.49,0,0.5,1.0,get_random_metapopulation,300
151,0.5,2,0.5,0,0.5,1.0,get_random_metapopulation,300
152,0.1,2,0.5,0,0.5,1.0,get_random_metapopulation,300
153,1.0,2,0.5,0,0.5,1.0,get_random_metapopulation,300
154,0.5,2,0.51,0,0.5,1.0,get_random_metapopulation,300
155,0.1,2,0.51,0,0.5,1.0,get_random_metapopulation,300
156,1.0,2,0.51,0,0.5,1.0,get_random_metapopulation,300
157,0.5,2,0.52,0,0.5,1.0,get_random_metapopulation,300
158,0.1,2,0.52,0,0.5,1.0,get_random_metapopulation,300
159,1.0,2,0.52,0,0.5,1.0,get_random_metapopulation,300
160,0.5,2,0.53,0,0.5,1.0,get_random_metapopulation,300
161,0.1,2,0.53,0,0.5,1.0,get_random_metapopulation,300
162,1.0,2,0.53,0,0.5,1.0,get_random_metapopulation,300
163,0.5,2,0.54,0,0.5,1.0,get_random_metapopulation,300
164,0.1,2,0.54,0,0.5,1.0,get_random_metapopulation,300
165,1.0,2,0.54,0,0.5,1.0,get_random_metapopulation,300
166,0.5,2,0.55,0,0.5,1.0,get_random_metapopulation,300
167,0.1,2,0.55,0,0.5,1.0,get_random_metapopulation,300
168,1.0,2,0.55,0,0.5,1.0,get_random_metapopulation,300
169,0.5,2,0.56,0,0.5,1.0,get_random_metapopulation,300
170,0.1,2,0.56,0,0.5,1.0,get_random_metapopulation,300
171,1.0,2,0.56,0,0.5,1.0,get_random_metapopulation,300
172,0.5,2,0.57,0,0.5,1.0,get_random_metapopulation,300
173,0.1,2,0.57,0,0.5,1.0,get_random_metapopulation,300
174,1.0,2,0.57,0,0.5,1.0,get_random_metapopulation,300
175,0.5,2,0.58,0,0.5,1.0,get_random_metapopulation,300
176,0.1,2,0.58,0,0.5,1.0,get_random_metapopulation,300
177,1.0,2,0.58,0,0.5,1.0,get_random_metapopulation,300
178,0.5,2,0.59,0,0.5,1.0,get_random_metapopulation,300
179,0.1,2,0.59,0,0.5,1.0,get_random_metapopulation,300
180,1.0,2,0.59,0,0.5,1.0,get_random_metapopulation,300
181,0.5,2,0.6,0,0.5,1.0,get_random_metapopulation,300
182,0.1,2,0.6,0,0.5,1.0,get_random_metapopulation,300
183,1.0,2,0.6,0,0.5,1.0,get_random_metapopulation,300
184,0.5,2,0.61,0,0.5,1.0,get_random_metapopulation,300
185,0.1,2,0.61,0,0.5,1.0,get_random_metapopulation,300
186,1.0,2,0.61,0,0.5,1.0,get_random_metapopulation,300
187,0.5,2,0.62,0,0.5,1.0,get_random_metapopulation,300
188,0.1,2,0.62,0,0.5,1.0,get_random_metapopulation,300
189,1.0,2,0.62,0,0.5,1.0,get_random_metapopulation,300
190,0.5,2,0.63,0,0.5,1.0,get_random_metapopulation,300
191,0.1,2,0.63,0,0.5,1.0,get_random_metapopulation,300
192,1.0,2,0.63,0,0.5,1.0,get_random_metapopulation,300
193,0.5,2,0.64,0,0.5,1.0,get_random_metapopulation,300
194,0.1,2,0.64,0,0.5,1.0,get_random_metapopulation,300
195,1.0,2,0.64,0,0.5,1.0,get_random_metapopulation,300
196,0.5,2,0.65,0,0.5,1.0,get_random_metapopulation,300
197,0.1,2,0.65,0,0.5,1.0,get_random_metapopulation,300
198,1.0,2,0.65,0,0.5,1.0,get_random_metapopulation,300
199,0.5,2,0.66,0,0.5,1.0,get_random_metapopulation,300
200,0.1,2,0.66,0,0.5,1.0,get_random_metapopulation,300
201,1.0,2,0.66,0,0.5,1.0,get_random_metapopulation,300
202,0.5,2,0.67,0,0.5,1.0,get_random_metapopulation,300
203,0.1,2,0.67,0,0.5,1.0,get_random_metapopulation,300
204,1.0,2,0.67,0,0.5,1.0,get_random_metapopulation,300
205,0.5,2,0.68,0,0.5,1.0,get_random_metapopulation,300
206,0.1,2,0.68,0,0.5,1.0,get_random_metapopulation,300
207,1.0,2,0.68,0,0.5,1.0,get_random_metapopulation,300
208,0.5,2,0.69,0,0.5,1.0,get_random_metapopulation,300
209,0.1,2,0.69,0,0.5,1.0,get_random_metapopulation,300
210,1.0,2,0.69,0,0.5,1.0,get_random_metapopulation,300
211,0.5,2,0.7,0,0.5,1.0,get_random_metapopulation,300
212,0.1,2,0.7,0,0.5,1.0,get_random_metapopulation,300
213,1.0,2,0.7,0,0.5,1.0,get_random_metapopulation,300
214,0.5,2,0.71,0,0.5,1.0,get_random_metapopulation,300
215,0.1,2,0.71,0,0.5,1.0,get_random_metapopulation,300
216,1.0,2,0.71,0,0.5,1.0,get_random_metapopulation,300
217,0.5,2,0.72,0,0.5,1.0,get_random_metapopulation,300
218,0.1,2,0.72,0,0.5,1.0,get_random_metapopulation,300
219,1.0,2,0.72,0,0.5,1.0,get_random_metapopulation,300
220,0.5,2,0.73,0,0.5,1.0,get_random_metapopulation,300
221,0.1,2,0.73,0,0.5,1.0,get_random_metapopulation,300
222,1.0,2,0.73,0,0.5,1.0,get_random_metapopulation,300
223,0.5,2,0.74,0,0.5,1.0,get_random_metapopulation,300
224,0.1,2,0.74,0,0.5,1.0,get_random_metapopulation,300
225,1.0,2,0.74,0,0.5,1.0,get_random_metapopulation,300
226,0.5,2,0.75,0,0.5,1.0,get_random_metapopulation,300
227,0.1,2,0.75,0,0.5,1.0,get_random_metapopulation,300
228,1.0,2,0.75,0,0.5,1.0,get_random_metapopulation,300
229,0.5,2,0.76,0,0.5,1.0,get_random_metapopulation,300
230,0.1,2,0.76,0,0.5,1.0,get_random_metapopulation,300
231,1.0,2,0.76,0,0.5,1.0,get_random_metapopulation,300
232,0.5,2,0.77,0,0.5,1.0,get_random_metapopulation,300
233,0.1,2,0.77,0,0.5,1.0,get_random_metapopulation,300
234,1.0,2,0.77,0,0.5,1.0,get_random_metapopulation,300
235,0.5,2,0.78,0,0.5,1.0,get_random_metapopulation,300
236,0.1,2,0.78,0,0.5,1.0,get_random_metapopulation,300
237,1.0,2,0.78,0,0.5,1.0,get_random_metapopulation,300
238,0.5,2,0.79,0,0.5,1.0,get_random_metapopulation,300
239,0.1,2,0.79,0,0.5,1.0,get_random_metapopulation,300
240,1.0,2,0.79,0,0.5,1.0,get_random_metapopulation,300
241,0.5,2,0.8,0,0.5,1.0,get_random_metapopulation,300
242,0.1,2,0.8,0,0.5,1.0,get_random_metapopulation,300
