treatment,sigma,num_populations,migration_rate,alpha,lambda,carrying_capacity,metapopulation_generator,number_of_timesteps
1,0.5,20,0.0,0,1.0,1.0,get_random_metapopulation,300
2,0.5,20,0.01,0,1.0,1.0,get_random_metapopulation,300
3,0.5,20,0.02,0,1.0,1.0,get_random_metapopulation,300
4,0.5,20,0.03,0,1.0,1.0,get_random_metapopulation,300
5,0.5,20,0.04,0,1.0,1.0,get_random_metapopulation,300
6,0.5,20,0.05,0,1.0,1.0,get_random_metapopulation,300
7,0.5,20,0.06,0,1.0,1.0,get_random_metapopulation,300
8,0.5,20,0.07,0,1.0,1.0,get_random_metapopulation,300
9,0.5,20,0.08,0,1.0,1.0,get_random_metapopulation,300
10,0.5,20,0.09,0,1.0,1.0,get_random_metapopulation,300
11,0.5,20,0.1,0,1.0,1.0,get_random_metapopulation,300
12,0.5,20,0.11,0,1.0,1.0,get_random_metapopulation,300
13,0.5,20,0.12,0,1.0,1.0,get_random_metapopulation,300
14,0.5,20,0.13,0,1.0,1.0,get_random_metapopulation,300
15,0.5,20,0.14,0,1.0,1.0,get_random_metapopulation,300
16,0.5,20,0.15,0,1.0,1.0,get_random_metapopulation,300
17,0.5,20,0.16,0,1.0,1.0,get_random_metapopulation,300
18,0.5,20,0.17,0,1.0,1.0,get_random_metapopulation,300
19,0.5,20,0.18,0,1.0,1.0,get_random_metapopulation,300
20,0.5,20,0.19,0,1.0,1.0,get_random_metapopulation,300
21,0.5,20,0.2,0,1.0,1.0,get_random_metapopulation,300
22,0.5,20,0.21,0,1.0,1.0,get_random_metapopulation,300
23,0.5,20,0.22,0,1.0,1.0,get_random_metapopulation,300
24,0.5,20,0.23,0,1.0,1.0,get_random_metapopulation,300
25,0.5,20,0.24,0,1.0,1.0,get_random_metapopulation,300
26,0.5,20,0.25,0,1.0,1.0,get_random_metapopulation,300
27,0.5,20,0.26,0,1.0,1.0,get_random_metapopulation,300
28,0.5,20,0.27,0,1.0,1.0,get_random_metapopulation,300
29,0.5,20,0.28,0,1.0,1.0,get_random_metapopulation,300
30,0.5,20,0.29,0,1.0,1.0,get_random_metapopulation,300
31,0.5,20,0.3,0,1.0,1.0,get_random_metapopulation,300
32,0.5,20,0.31,0,1.0,1.0,get_random_metapopulation,300
33,0.5,20,0.32,0,1.0,1.0,get_random_metapopulation,300
34,0.5,20,0.33,0,1.0,1.0,get_random_metapopulation,300
35,0.5,20,0.34,0,1.0,1.0,get_random_metapopulation,300
36,0.5,20,0.35,0,1.0,1.0,get_random_metapopulation,300
37,0.5,20,0.36,0,1.0,1.0,get_random_metapopulation,300
38,0.5,20,0.37,0,1.0,1.0,get_random_metapopulation,300
39,0.5,20,0.38,0,1.0,1.0,get_random_metapopulation,300
40,0.5,20,0.39,0,1.0,1.0,get_random_metapopulation,300
41,0.5,20,0.4,0,1.0,1.0,get_random_metapopulation,300
42,0.5,20,0.41,0,1.0,1.0,get_random_metapopulation,300
43,0.5,20,0.42,0,1.0,1.0,get_random_metapopulation,300
44,0.5,20,0.43,0,1.0,1.0,get_random_metapopulation,300
45,0.5,20,0.44,0,1.0,1.0,get_random_metapopulation,300
46,0.5,20,0.45,0,1.0,1.0,get_random_metapopulation,300
47,0.5,20,0.46,0,1.0,1.0,get_random_metapopulation,300
48,0.5,20,0.47,0,1.0,1.0,get_random_metapopulation,300
49,0.5,20,0.48,0,1.0,1.0,get_random_metapopulation,300
50,0.5,20,0.49,0,1.0,1.0,get_random_metapopulation,300
51,0.5,20,0.5,0,1.0,1.0,get_random_metapopulation,300
52,0.5,20,0.51,0,1.0,1.0,get_random_metapopulation,300
53,0.5,20,0.52,0,1.0,1.0,get_random_metapopulation,300
54,0.5,20,0.53,0,1.0,1.0,get_random_metapopulation,300
55,0.5,20,0.54,0,1.0,1.0,get_random_metapopulation,300
56,0.5,20,0.55,0,1.0,1.0,get_random_metapopulation,300
57,0.5,20,0.56,0,1.0,1.0,get_random_metapopulation,300
58,0.5,20,0.57,0,1.0,1.0,get_random_metapopulation,300
59,0.5,20,0.58,0,1.0,1.0,get_random_metapopulation,300
60,0.5,20,0.59,0,1.0,1.0,get_random_metapopulation,300
61,0.5,20,0.6,0,1.0,1.0,get_random_metapopulation,300
62,0.5,20,0.61,0,1.0,1.0,get_random_metapopulation,300
63,0.5,20,0.62,0,1.0,1.0,get_random_metapopulation,300
64,0.5,20,0.63,0,1.0,1.0,get_random_metapopulation,300
65,0.5,20,0.64,0,1.0,1.0,get_random_metapopulation,300
66,0.5,20,0.65,0,1.0,1.0,get_random_metapopulation,300
67,0.5,20,0.66,0,1.0,1.0,get_random_metapopulation,300
68,0.5,20,0.67,0,1.0,1.0,get_random_metapopulation,300
69,0.5,20,0.68,0,1.0,1.0,get_random_metapopulation,300
70,0.5,20,0.69,0,1.0,1.0,get_random_metapopulation,300
71,0.5,20,0.7,0,1.0,1.0,get_random_metapopulation,300
72,0.5,20,0.71,0,1.0,1.0,get_random_metapopulation,300
73,0.5,20,0.72,0,1.0,1.0,get_random_metapopulation,300
74,0.5,20,0.73,0,1.0,1.0,get_random_metapopulation,300
75,0.5,20,0.74,0,1.0,1.0,get_random_metapopulation,300
76,0.5,20,0.75,0,1.0,1.0,get_random_metapopulation,300
77,0.5,20,0.76,0,1.0,1.0,get_random_metapopulation,300
78,0.5,20,0.77,0,1.0,1.0,get_random_metapopulation,300
79,0.5,20,0.78,0,1.0,1.0,get_random_metapopulation,300
80,0.5,20,0.79,0,1.0,1.0,get_random_metapopulation,300
81,0.5,20,0.8,0,1.0,1.0,get_random_metapopulation,300
82,0.5,20,0.81,0,1.0,1.0,get_random_metapopulation,300
83,0.5,20,0.82,0,1.0,1.0,get_random_metapopulation,300
84,0.5,20,0.83,0,1.0,1.0,get_random_metapopulation,300
85,0.5,20,0.84,0,1.0,1.0,get_random_metapopulation,300
86,0.5,20,0.85,0,1.0,1.0,get_random_metapopulation,300
87,0.5,20,0.86,0,1.0,1.0,get_random_metapopulation,300
88,0.5,20,0.87,0,1.0,1.0,get_random_metapopulation,300
89,0.5,20,0.88,0,1.0,1.0,get_random_metapopulation,300
90,0.5,20,0.89,0,1.0,1.0,get_random_metapopulation,300
91,0.5,20,0.9,0,1.0,1.0,get_random_metapopulation,300
92,0.5,20,0.91,0,1.0,1.0,get_random_metapopulation,300
93,0.5,20,0.92,0,1.0,1.0,get_random_metapopulation,300
94,0.5,20,0.93,0,1.0,1.0,get_random_metapopulation,300
95,0.5,20,0.94,0,1.0,1.0,get_random_metapopulation,300
96,0.5,20,0.95,0,1.0,1.0,get_random_metapopulation,300
97,0.5,20,0.96,0,1.0,1.0,get_random_metapopulation,300
98,0.5,20,0.97,0,1.0,1.0,get_random_metapopulation,300
99,0.5,20,0.98,0,1.0,1.0,get_random_metapopulation,300
100,0.5,20,0.99,0,1.0,1.0,get_random_metapopulation,300
101,0.5,20,1.0,0,1.0,1.0,get_random_metapopulation,300
102,0.5,20,0.0,10,1.0,1.0,get_random_metapopulation,300
103,0.5,20,0.01,10,1.0,1.0,get_random_metapopulation,300
104,0.5,20,0.02,10,1.0,1.0,get_random_metapopulation,300
105,0.5,20,0.03,10,1.0,1.0,get_random_metapopulation,300
106,0.5,20,0.04,10,1.0,1.0,get_random_metapopulation,300
107,0.5,20,0.05,10,1.0,1.0,get_random_metapopulation,300
108,0.5,20,0.06,10,1.0,1.0,get_random_metapopulation,300
109,0.5,20,0.07,10,1.0,1.0,get_random_metapopulation,300
110,0.5,20,0.08,10,1.0,1.0,get_random_metapopulation,300
111,0.5,20,0.09,10,1.0,1.0,get_random_metapopulation,300
112,0.5,20,0.1,10,1.0,1.0,get_random_metapopulation,300
113,0.5,20,0.11,10,1.0,1.0,get_random_metapopulation,300
114,0.5,20,0.12,10,1.0,1.0,get_random_metapopulation,300
115,0.5,20,0.13,10,1.0,1.0,get_random_metapopulation,300
116,0.5,20,0.14,10,1.0,1.0,get_random_metapopulation,300
117,0.5,20,0.15,10,1.0,1.0,get_random_metapopulation,300
118,0.5,20,0.16,10,1.0,1.0,get_random_metapopulation,300
119,0.5,20,0.17,10,1.0,1.0,get_random_metapopulation,300
120,0.5,20,0.18,10,1.0,1.0,get_random_metapopulation,300
121,0.5,20,0.19,10,1.0,1.0,get_random_metapopulation,300
122,0.5,20,0.2,10,1.0,1.0,get_random_metapopulation,300
123,0.5,20,0.21,10,1.0,1.0,get_random_metapopulation,300
124,0.5,20,0.22,10,1.0,1.0,get_random_metapopulation,300
125,0.5,20,0.23,10,1.0,1.0,get_random_metapopulation,300
126,0.5,20,0.24,10,1.0,1.0,get_random_metapopulation,300
127,0.5,20,0.25,10,1.0,1.0,get_random_metapopulation,300
128,0.5,20,0.26,10,1.0,1.0,get_random_metapopulation,300
129,0.5,20,0.27,10,1.0,1.0,get_random_metapopulation,300
130,0.5,20,0.28,10,1.0,1.0,get_random_metapopulation,300
131,0.5,20,0.29,10,1.0,1.0,get_random_metapopulation,300
132,0.5,20,0.3,10,1.0,1.0,get_random_metapopulation,300
133,0.5,20,0.31,10,1.0,1.0,get_random_metapopulation,300
134,0.5,20,0.32,10,1.0,1.0,get_random_metapopulation,300
135,0.5,20,0.33,10,1.0,1.0,get_random_metapopulation,300
136,0.5,20,0.34,10,1.0,1.0,get_random_metapopulation,300
137,0.5,20,0.35,10,1.0,1.0,get_random_metapopulation,300
138,0.5,20,0.36,10,1.0,1.0,get_random_metapopulation,300
139,0.5,20,0.37,10,1.0,1.0,get_random_metapopulation,300
140,0.5,20,0.38,10,1.0,1.0,get_random_metapopulation,300
141,0.5,20,0.39,10,1.0,1.0,get_random_metapopulation,300
142,0.5,20,0.4,10,1.0,1.0,get_random_metapopulation,300
143,0.5,20,0.41,10,1.0,1.0,get_random_metapopulation,300
144,0.5,20,0.42,10,1.0,1.0,get_random_metapopulation,300
145,0.5,20,0.43,10,1.0,1.0,get_random_metapopulation,300
146,0.5,20,0.44,10,1.0,1.0,get_random_metapopulation,300
147,0.5,20,0.45,10,1.0,1.0,get_random_metapopulation,300
148,0.5,20,0.46,10,1.0,1.0,get_random_metapopulation,300
149,0.5,20,0.47,10,1.0,1.0,get_random_metapopulation,300
150,0.5,20,0.48,10,1.0,1.0,get_random_metapopulation,300
151,0.5,20,0.49,10,1.0,1.0,get_random_metapopulation,300
152,0.5,20,0.5,10,1.0,1.0,get_random_metapopulation,300
153,0.5,20,0.51,10,1.0,1.0,get_random_metapopulation,300
154,0.5,20,0.52,10,1.0,1.0,get_random_metapopulation,300
155,0.5,20,0.53,10,1.0,1.0,get_random_metapopulation,300
156,0.5,20,0.54,10,1.0,1.0,get_random_metapopulation,300
157,0.5,20,0.55,10,1.0,1.0,get_random_metapopulation,300
158,0.5,20,0.56,10,1.0,1.0,get_random_metapopulation,300
159,0.5,20,0.57,10,1.0,1.0,get_random_metapopulation,300
160,0.5,20,0.58,10,1.0,1.0,get_random_metapopulation,300
161,0.5,20,0.59,10,1.0,1.0,get_random_metapopulation,300
162,0.5,20,0.6,10,1.0,1.0,get_random_metapopulation,300
163,0.5,20,0.61,10,1.0,1.0,get_random_metapopulation,300
164,0.5,20,0.62,10,1.0,1.0,get_random_metapopulation,300
165,0.5,20,0.63,10,1.0,1.0,get_random_metapopulation,300
166,0.5,20,0.64,10,1.0,1.0,get_random_metapopulation,300
