treatment,replicate,mean_cc
1,1,0.2853190262142709
1,2,0.2761833009991161
1,3,0.12105993429145616
1,4,0.16464023086743143
1,5,0.19955950361349017
1,6,0.16105531755204333
1,7,0.17427280111882223
1,8,0.1713800668048483
1,9,0.1280015762523277
1,10,0.21465703672503006
1,11,0.14801970404684517
1,12,0.2074118196036252
1,13,0.14758856290910002
1,14,0.2171445335088708
1,15,0.11268326717868687
1,16,0.15976595096122048
1,17,0.16108429814682165
1,18,0.21541069609647465
1,19,0.26275183115012424
1,20,0.2503000768020356
1,21,0.16006975303027549
1,22,0.1501905926850457
1,23,0.08325649936993852
1,24,0.21230893787361213
1,25,0.22089413492807214
1,26,0.14478765318514944
1,27,0.3024625093719064
1,28,0.253067053398384
1,29,0.18811454749620216
1,30,0.2224549550243665
1,31,0.1789648083070953
1,32,0.15101639989237559
1,33,0.14204942372752238
1,34,0.1382254694800818
1,35,0.18474433043717256
1,36,0.22110032767077056
1,37,0.08744087172962219
1,38,0.212677257200346
1,39,0.17745061309186444
1,40,0.21132869743396102
1,41,0.24167080189393864
1,42,0.14234954104527528
1,43,0.2287048813335497
1,44,0.19969969322538503
1,45,0.15426102115601353
1,46,0.22349017278426184
1,47,0.1924427435596453
1,48,0.21958053401869734
1,49,0.16841283671421486
1,50,0.1222811897073579
2,1,0.24173133505007555
2,2,0.2784724296418748
2,3,0.3352468645497615
2,4,0.320461788071042
2,5,0.24211742782834444
2,6,0.2610578441120194
2,7,0.14366430865435656
2,8,0.23460621774375992
2,9,0.22407111631552143
2,10,0.2606411865548049
2,11,0.2548327394642634
2,12,0.25152528199416546
2,13,0.15414255484764755
2,14,0.1265773097099269
2,15,0.19929821767631098
2,16,0.22111748095188258
2,17,0.2088254130367944
2,18,0.1890728486649473
2,19,0.1961261916734162
2,20,0.22879932990072918
2,21,0.22026885504310867
2,22,0.19685099982293494
2,23,0.2987869085876734
2,24,0.2094613436419214
2,25,0.25414689681778413
2,26,0.19563797847067424
2,27,0.20580130651226639
2,28,0.19458370865168986
2,29,0.15127575952324657
2,30,0.3559390183102314
2,31,0.1865576092580901
2,32,0.13836370523655026
2,33,0.3188110695327776
2,34,0.2608421416125815
2,35,0.20237310172712067
2,36,0.15556685419941765
2,37,0.1804025565046848
2,38,0.2099928577921138
2,39,0.2616365440705308
2,40,0.20388350401887312
2,41,0.3583504616828296
2,42,0.16925923360953513
2,43,0.16527237499962874
2,44,0.15514133661629234
2,45,0.1744953867759391
2,46,0.08735116199580897
2,47,0.3465864154883839
2,48,0.07356278914100325
2,49,0.24709896721284008
2,50,0.19228726139287403
3,1,0.16393369082737536
3,2,0.20195017239943533
3,3,0.18766814776039353
3,4,0.2607725824025087
3,5,0.21213280297800505
3,6,0.2856758824304601
3,7,0.17704269757146518
3,8,0.30294286663227454
3,9,0.23510866851734402
3,10,0.3818899137227685
3,11,0.2018709571692548
3,12,0.282912132495431
3,13,0.2970910175780609
3,14,0.26867097151268976
3,15,0.11511479677124285
3,16,0.2875780968945391
3,17,0.3373313011546891
3,18,0.1793960067191031
3,19,0.1983153551839227
3,20,0.22427696822046198
3,21,0.28521030295365246
3,22,0.2575427675978014
3,23,0.1210605289098727
3,24,0.16470830820836158
3,25,0.35573486139229815
3,26,0.1098033227968396
3,27,0.21785184965168952
3,28,0.2002849733340154
3,29,0.19728697303215026
3,30,0.27503894258064254
3,31,0.17155192930147925
3,32,0.29699002629830085
3,33,0.2084648304038216
3,34,0.2440184424074034
3,35,0.21387430744670405
3,36,0.1829771001257077
3,37,0.10460282938641596
3,38,0.33935066380303275
3,39,0.20263365833489297
3,40,0.2568187242337335
3,41,0.16531746201681022
3,42,0.26107194809106704
3,43,0.279751211353133
3,44,0.2352950520730306
3,45,0.2972607874605855
3,46,0.24639054936080715
3,47,0.1747477494763943
3,48,0.1969098955263139
3,49,0.34019960302140834
3,50,0.2732586657189277
4,1,0.17299664555799357
4,2,0.25605238411416603
4,3,0.2381498718389283
4,4,0.12685225002280423
4,5,0.14894967228571265
4,6,0.23385500092917638
4,7,0.19766037058217345
4,8,0.2874421493433519
4,9,0.23114654299522155
4,10,0.3121850303918354
4,11,0.12776383002703537
4,12,0.3953229976960428
4,13,0.2161230392993478
4,14,0.33010677783384934
4,15,0.3963484129759667
4,16,0.15945730899827776
4,17,0.3624603421043965
4,18,0.20731394184497426
4,19,0.4349881676000239
4,20,0.23402350447836068
4,21,0.22546376475101357
4,22,0.27171473405683566
4,23,0.3592103981117108
4,24,0.205150266377404
4,25,0.3363434767527813
4,26,0.1468275723336372
4,27,0.2598690500927175
4,28,0.1414594710381591
4,29,0.37800134935632673
4,30,0.2139407190256045
4,31,0.33285469109037197
4,32,0.18470028211343714
4,33,0.2580244590623316
4,34,0.17991967622790078
4,35,0.27326779432684684
4,36,0.28960425993141475
4,37,0.2485180930527623
4,38,0.2846201945602632
4,39,0.20695897152743015
4,40,0.3901362292934336
4,41,0.1553666730267118
4,42,0.29177688973744537
4,43,0.1621467215942034
4,44,0.2973626199549751
4,45,0.36218472248824596
4,46,0.26928353657676396
4,47,0.2751503142699569
4,48,0.23808635254565638
4,49,0.24615612637353454
4,50,0.18343833043343388
5,1,0.1747372942709216
5,2,0.20124717150169694
5,3,0.18802592491339856
5,4,0.3911806472542172
5,5,0.15387378525741324
5,6,0.42565728245567624
5,7,0.3683613419414861
5,8,0.2691211554983517
5,9,0.3582584479906239
5,10,0.2565352426879001
5,11,0.37913302633679535
5,12,0.258049352822846
5,13,0.28041960194069343
5,14,0.3258422346819505
5,15,0.43520212055338486
5,16,0.3948660942836917
5,17,0.27260875140074975
5,18,0.2512604534913494
5,19,0.13539509688087006
5,20,0.3609716675787589
5,21,0.2573972978298824
5,22,0.244677349200816
5,23,0.21353293555089234
5,24,0.27714790509026854
5,25,0.3405915392369422
5,26,0.13296820262325051
5,27,0.37633992530208904
5,28,0.2713525609305062
5,29,0.1964633176060418
