treatment,replicate,mean_cc
1,1,0.3130939125058728
1,2,0.261183697731803
1,3,0.1748567221557324
1,4,0.2741445466401399
1,5,0.2665003781348985
1,6,0.23909342430831634
1,7,0.14569692092384856
1,8,0.13388800017206834
1,9,0.2572142228543554
1,10,0.10427400662736493
1,11,0.13136569686568805
1,12,0.31556741781695735
1,13,0.10218231463064231
1,14,0.226987833932483
1,15,0.3526322075686284
1,16,0.3809015162911802
1,17,0.21075265321677356
1,18,0.13018817026736262
1,19,0.42327813565195244
1,20,0.22433433768661004
1,21,0.11808305429611396
1,22,0.326124622134408
1,23,0.26157485693674415
1,24,0.2433437801509516
1,25,0.17496401061263625
1,26,0.23007014159822228
1,27,0.11875252776317641
1,28,0.08238991627749827
1,29,0.08976301743262947
1,30,0.15797490704858155
1,31,0.13962898693553227
1,32,0.2997551706372398
1,33,0.15921186455554273
1,34,0.15802993732979576
1,35,0.1938401667418671
1,36,0.3100719904031805
1,37,0.15817481774177877
1,38,0.34232194114063086
1,39,0.37130741789491695
1,40,0.2221738342814479
1,41,0.11882194969136084
1,42,0.22430156837507845
1,43,0.1839961090181839
1,44,0.20060487204466046
1,45,0.18176930194264798
1,46,0.3043774312800657
1,47,0.12409392537788694
1,48,0.13056257868484983
1,49,0.1173411729813726
1,50,0.04590458089329072
2,1,0.29665287097049053
2,2,0.17225227450474964
2,3,0.3000610267243099
2,4,0.2777728560869289
2,5,0.23613884224441742
2,6,0.14628529837030124
2,7,0.18361442015464252
2,8,0.2495855498841641
2,9,0.3187722712037467
2,10,0.22741528018143617
2,11,0.38157070621061856
2,12,0.2949451864034873
2,13,0.29495033337385373
2,14,0.28106432653300395
2,15,0.33586843329290383
2,16,0.2993375630885964
2,17,0.17093008585792527
2,18,0.3570058946315062
2,19,0.14274300260110664
2,20,0.3368028668472113
2,21,0.34990864441421693
2,22,0.3678879113710584
2,23,0.3095703589893451
2,24,0.29689723234684884
2,25,0.4355085066009037
2,26,0.320804664550636
2,27,0.16470264104374863
2,28,0.26336454210181465
2,29,0.27033081626565497
2,30,0.2890875153045197
2,31,0.24010854846704816
2,32,0.12382563583847528
2,33,0.23326534175666672
2,34,0.28033098612007373
2,35,0.31735290570464814
2,36,0.3188451525961787
2,37,0.23988977387788119
2,38,0.34115327665936857
2,39,0.3778992983109984
2,40,0.34434679337219304
2,41,0.293467297843849
2,42,0.2810562427422615
2,43,0.20090787054326426
2,44,0.31077285920287123
2,45,0.2915417454122293
2,46,0.4067208474793879
2,47,0.22071016753888856
2,48,0.3428611298745901
2,49,0.2103765681635218
2,50,0.10338894117165032
3,1,0.31114336762854783
3,2,0.399855196852865
3,3,0.3226387062605271
3,4,0.16704356388358893
3,5,0.2339490295356454
3,6,0.2948529731366173
3,7,0.29150637273461344
3,8,0.25954364548907644
3,9,0.30221765548361273
3,10,0.22031318349732731
3,11,0.2351182047486387
3,12,0.2802047514621349
3,13,0.1565579845657064
3,14,0.33989245855014144
3,15,0.411942563071882
3,16,0.3241420071325405
3,17,0.23443085784237727
3,18,0.2071960932012733
3,19,0.17762906590960897
3,20,0.43517372468529036
3,21,0.25134910814427314
3,22,0.1970526391104989
3,23,0.32168243986061806
3,24,0.41108327720517324
3,25,0.2299462389107609
3,26,0.24639010988801127
3,27,0.2641550056265979
3,28,0.24877386084266143
3,29,0.21725648921619084
3,30,0.2872130729444191
3,31,0.3257685483754671
3,32,0.4576516927907004
3,33,0.24387366729703644
3,34,0.18741158490371776
3,35,0.1379173868181976
3,36,0.2743354760923351
3,37,0.4300493958108937
3,38,0.3980781887344322
3,39,0.30001173468601217
3,40,0.4262867139889635
3,41,0.4690423532144366
3,42,0.5040089342866805
3,43,0.3280271866321813
3,44,0.27578027546040373
3,45,0.4943432287405603
3,46,0.5027219889045798
3,47,0.24917405944862211
3,48,0.2208550303721545
3,49,0.2757588410806406
3,50,0.14766945982110477
4,1,0.2287205758474498
4,2,0.37508972042639677
4,3,0.39138569748515306
4,4,0.23958925758272467
4,5,0.34730514093223414
4,6,0.37185482135048714
4,7,0.5232908505745848
4,8,0.3975375430408242
4,9,0.28231319106897584
4,10,0.506530878245998
4,11,0.288173650665714
4,12,0.3190129108434252
4,13,0.19876092113613042
4,14,0.1634194841591588
4,15,0.46299703888949273
4,16,0.4239952036375768
4,17,0.33618891066208195
4,18,0.2863735396442817
4,19,0.33985228855408534
4,20,0.29840584230729206
4,21,0.35811723331927225
4,22,0.33489149890540987
4,23,0.1670341916975829
4,24,0.3702039020124322
4,25,0.3760731614011661
4,26,0.242205657099573
4,27,0.39427422383248556
4,28,0.29949204235139815
4,29,0.4524717601759256
4,30,0.21747173138454998
4,31,0.4284470531459413
4,32,0.43888894857264105
4,33,0.2296189679557599
4,34,0.2673122078002603
4,35,0.2920808194990215
4,36,0.4892044874675969
4,37,0.6120131323124972
4,38,0.20472223283699353
4,39,0.4280368486628636
4,40,0.4432551027852442
4,41,0.45090828872082184
4,42,0.22488144514178796
4,43,0.5286963120768556
4,44,0.3906126403853438
4,45,0.3796409752804431
4,46,0.5493510170571139
4,47,0.327225198467442
4,48,0.4069822238606869
4,49,0.34862468457883766
4,50,0.3332387109710229
5,1,0.4141079067877409
5,2,0.4003652297680358
5,3,0.5084006924480168
5,4,0.46668984447605655
5,5,0.4416355092822624
5,6,0.3400742370471886
5,7,0.38565334358634895
5,8,0.5121049900265868
5,9,0.508952145803203
5,10,0.21969412585672457
5,11,0.43005240879872364
5,12,0.33153227872813273
5,13,0.1953485569759105
5,14,0.24594108232697717
5,15,0.3179125025182097
5,16,0.34410729871061924
5,17,0.34474842687892665
5,18,0.2965989648943566
5,19,0.48424425737336124
5,20,0.295565905021749
5,21,0.412063867026282
5,22,0.4079317903500755
5,23,0.4330348207197822
5,24,0.5845873914848002
5,25,0.23153360761507
5,26,0.3073770218504976
5,27,0.24163665007220103
5,28,0.4188322267240963
5,29,0.32739939943280577
5,30,0.4266707312738004
5,31,0.4796450306136361
5,32,0.500093670501852
5,33,0.40232192440330916
5,34,0.29095799870768885
5,35,0.25744742625184297
5,36,0.4016196539712217
5,37,0.3561447055228821
5,38,0.5439829845541762
5,39,0.3741079017594038
5,40,0.5632038721189973
5,41,0.4393685291162071
5,42,0.43018400597778034
5,43,0.3553358945926495
5,44,0.2958002542855766
5,45,0.47072724906151425
5,46,0.3412533129025764
5,47,0.3240900453995505
5,48,0.5141565835380169
5,49,0.5366474003077396
5,50,0.42473340277585736
6,1,0.5242454293341955
6,2,0.5321827096966647
6,3,0.34495690414498925
6,4,0.33141451221103596
6,5,0.3936302798927474
6,6,0.4597046222166486
6,7,0.48564999527858743
6,8,0.4295260062049713
6,9,0.37691473542002824
6,10,0.5682179237328447
6,11,0.48494065923878343
6,12,0.5438098562304425
6,13,0.2825302247952102
6,14,0.6141608091863855
6,15,0.55055370016669
6,16,0.4859369631486986
6,17,0.5579204031943862
6,18,0.5273493699719844
6,19,0.2878219793547393
6,20,0.44778080694212136
6,21,0.5030848936003729
6,22,0.44082450584952926
6,23,0.6246842564073124
6,24,0.35579048222828535
6,25,0.5317439347620814
6,26,0.464254559248275
6,27,0.3468761535387036
6,28,0.36864132669100874
6,29,0.4941069174602015
6,30,0.484822190160006
6,31,0.3741560915563575
6,32,0.5520246134820675
6,33,0.3834738043751752
6,34,0.34409818015595134
6,35,0.4586156066106094
6,36,0.3182970105790536
6,37,0.4216579448776258
6,38,0.3566173018729698
6,39,0.45594332331535264
6,40,0.5678724770064509
6,41,0.3912326735741584
6,42,0.4526820725542776
6,43,0.3348098053886382
6,44,0.47177777394592213
6,45,0.4009163211094265
6,46,0.3427015409107
6,47,0.559748870820497
6,48,0.4899512435656546
6,49,0.45176050553549674
6,50,0.361126265191023
7,1,0.43083977399003565
7,2,0.47894540537790603
7,3,0.48651639168867383
7,4,0.3503341287885875
7,5,0.4251823297239298
7,6,0.4753089219952002
7,7,0.4383173821511509
7,8,0.5396754146886708
7,9,0.5317537350300605
7,10,0.25554756312820986
7,11,0.2888308303874722
7,12,0.4769134498755073
7,13,0.43194284614157613
7,14,0.49796440669171926
7,15,0.512843389611448
7,16,0.5276574095490433
7,17,0.6837970578751991
7,18,0.5833996633287508
7,19,0.47857558820369295
7,20,0.5450226263556818
7,21,0.42541906062657325
7,22,0.45338777773061734
7,23,0.5831215873608016
7,24,0.4651710489090084
7,25,0.49952519503431103
7,26,0.5073856431037504
7,27,0.4677955107165562
7,28,0.5094056615949448
7,29,0.5321178674198315
7,30,0.4323593366990202
7,31,0.4170387711989417
7,32,0.5061272480533122
7,33,0.5047347823580018
7,34,0.3314571673918477
7,35,0.6260921424300999
7,36,0.6328492094993377
7,37,0.461340338253464
7,38,0.5765826479386428
7,39,0.2786297158979659
7,40,0.5244312266762549
7,41,0.54289217627557
7,42,0.6300670436690876
7,43,0.3064649147517696
7,44,0.4460304995419324
7,45,0.4677371592170534
7,46,0.6228799615667922
7,47,0.488287736472598
7,48,0.45770792203314004
7,49,0.5062454494792552
7,50,0.41821187766999485
8,1,0.5040645517272401
8,2,0.42612714826503373
8,3,0.510928585071037
8,4,0.5471988096499849
8,5,0.39458928628103035
8,6,0.3911323401197553
8,7,0.48373313759199993
8,8,0.466889984638624
8,9,0.43573042198967155
8,10,0.49997643735354236
8,11,0.38347198125173176
8,12,0.41257437057329693
8,13,0.48080112884170595
8,14,0.5481568439077696
8,15,0.48311305221196654
8,16,0.5723859482623211
8,17,0.41939127291901385
8,18,0.4427791275855162
8,19,0.44725613824619176
8,20,0.4094795702003043
8,21,0.4753191416848949
8,22,0.4087366449931508
8,23,0.5132276118736936
8,24,0.3900020453379832
8,25,0.6073159388511226
8,26,0.6352788295730962
8,27,0.5576542893357628
8,28,0.47276418708456514
8,29,0.5920719145962977
8,30,0.4689960363583946
8,31,0.379174260502878
8,32,0.45034472720641927
8,33,0.5733430132929324
8,34,0.36708572752315305
8,35,0.6825518648151508
8,36,0.6709127483770443
8,37,0.557134841003547
8,38,0.2806317160292715
8,39,0.3263479199433444
8,40,0.48233475065709946
8,41,0.4389258020586733
8,42,0.574003105834241
8,43,0.4863090626164667
8,44,0.40014595350519117
8,45,0.5438579308217811
8,46,0.5535471859586748
8,47,0.3722242988342989
8,48,0.5154636577522076
8,49,0.44743159614112366
8,50,0.5089924672626102
9,1,0.45550588999251984
9,2,0.5052238466502998
9,3,0.5762671924201984
9,4,0.41319363071342946
9,5,0.44489994760722573
9,6,0.5059817719920722
9,7,0.5598058067279406
9,8,0.4452916875318948
9,9,0.5098150651103447
9,10,0.6839411803285431
9,11,0.40949166967276274
9,12,0.4880436068378863
9,13,0.5644125712622051
9,14,0.4728722594174323
9,15,0.5280852572025675
9,16,0.5563581623668995
9,17,0.4389158958459562
9,18,0.5358511766784171
9,19,0.6006384305008637
9,20,0.6494140599443805
9,21,0.6837521095150855
9,22,0.2601611783250423
9,23,0.6447030257670394
9,24,0.39061104670262137
9,25,0.43007659347192567
9,26,0.5973551740344268
9,27,0.49970937563209367
9,28,0.7034040987606202
9,29,0.5802879784139294
9,30,0.53180397547112
9,31,0.37283529857919206
9,32,0.5155156354056899
9,33,0.491908853047881
9,34,0.5313618499029527
9,35,0.6748178826229894
9,36,0.6703283508082006
9,37,0.3802237936328887
9,38,0.6081529875521442
9,39,0.55860153746445
9,40,0.6020312278743815
9,41,0.5580349314614801
9,42,0.60604807291945
9,43,0.5986880013342618
9,44,0.6863369935598636
9,45,0.552402492374043
9,46,0.46549817433079305
9,47,0.3991416756590016
9,48,0.5409257429289277
9,49,0.40872830433236956
9,50,0.41587772260779937
10,1,0.5990232176292714
10,2,0.5935804445015475
10,3,0.5230929138705974
10,4,0.3422029057969893
10,5,0.5481629664754677
10,6,0.4651067512239809
10,7,0.3119660115793939
10,8,0.6518735511033537
10,9,0.5929669264167754
10,10,0.6223301487069802
10,11,0.4927205876993933
10,12,0.5108111671324058
10,13,0.5634114088205272
10,14,0.5106047632434206
10,15,0.5585606991806342
10,16,0.47172403954713793
10,17,0.5516003866566825
10,18,0.5849477150706109
10,19,0.38456716914387223
10,20,0.360706305386737
10,21,0.46007494757653167
10,22,0.5034573440715565
10,23,0.37279329347579165
10,24,0.5876081181386756
10,25,0.5530445232217732
10,26,0.3865279676939552
10,27,0.4375900825602602
10,28,0.5743448719773347
10,29,0.3466212253131467
10,30,0.3706676659206246
10,31,0.4669204237102976
10,32,0.4104935064753016
10,33,0.5839673986364468
10,34,0.4945388613889896
10,35,0.5819704769366553
10,36,0.4578212004221996
10,37,0.3500899949673662
10,38,0.6942424114038557
10,39,0.5357210831284226
10,40,0.6721609186732503
10,41,0.671105485760128
10,42,0.6200833773498645
10,43,0.42195471233491094
10,44,0.5448950785604372
10,45,0.4246461310851134
10,46,0.636090684480115
10,47,0.6091229318721426
10,48,0.46887531522442266
10,49,0.3958204624872362
