treatment,sigma,num_populations,migration_rate,alpha,lambda,carrying_capacity,metapopulation_generator,number_of_timesteps
1,1.0,5,0.0,0.0,1.0,1.0,get_random_metapopulation,300
2,1.0,10,0.0,0.0,1.0,1.0,get_random_metapopulation,300
3,1.0,15,0.0,0.0,1.0,1.0,get_random_metapopulation,300
4,1.0,20,0.0,0.0,1.0,1.0,get_random_metapopulation,300
5,1.0,25,0.0,0.0,1.0,1.0,get_random_metapopulation,300
6,1.0,5,0.01,0.0,1.0,1.0,get_random_metapopulation,300
7,1.0,10,0.01,0.0,1.0,1.0,get_random_metapopulation,300
8,1.0,15,0.01,0.0,1.0,1.0,get_random_metapopulation,300
9,1.0,20,0.01,0.0,1.0,1.0,get_random_metapopulation,300
10,1.0,25,0.01,0.0,1.0,1.0,get_random_metapopulation,300
11,1.0,5,0.02,0.0,1.0,1.0,get_random_metapopulation,300
12,1.0,10,0.02,0.0,1.0,1.0,get_random_metapopulation,300
13,1.0,15,0.02,0.0,1.0,1.0,get_random_metapopulation,300
14,1.0,20,0.02,0.0,1.0,1.0,get_random_metapopulation,300
15,1.0,25,0.02,0.0,1.0,1.0,get_random_metapopulation,300
16,1.0,5,0.03,0.0,1.0,1.0,get_random_metapopulation,300
17,1.0,10,0.03,0.0,1.0,1.0,get_random_metapopulation,300
18,1.0,15,0.03,0.0,1.0,1.0,get_random_metapopulation,300
19,1.0,20,0.03,0.0,1.0,1.0,get_random_metapopulation,300
20,1.0,25,0.03,0.0,1.0,1.0,get_random_metapopulation,300
21,1.0,5,0.04,0.0,1.0,1.0,get_random_metapopulation,300
22,1.0,10,0.04,0.0,1.0,1.0,get_random_metapopulation,300
23,1.0,15,0.04,0.0,1.0,1.0,get_random_metapopulation,300
24,1.0,20,0.04,0.0,1.0,1.0,get_random_metapopulation,300
25,1.0,25,0.04,0.0,1.0,1.0,get_random_metapopulation,300
26,1.0,5,0.05,0.0,1.0,1.0,get_random_metapopulation,300
27,1.0,10,0.05,0.0,1.0,1.0,get_random_metapopulation,300
28,1.0,15,0.05,0.0,1.0,1.0,get_random_metapopulation,300
29,1.0,20,0.05,0.0,1.0,1.0,get_random_metapopulation,300
30,1.0,25,0.05,0.0,1.0,1.0,get_random_metapopulation,300
31,1.0,5,0.06,0.0,1.0,1.0,get_random_metapopulation,300
32,1.0,10,0.06,0.0,1.0,1.0,get_random_metapopulation,300
33,1.0,15,0.06,0.0,1.0,1.0,get_random_metapopulation,300
34,1.0,20,0.06,0.0,1.0,1.0,get_random_metapopulation,300
35,1.0,25,0.06,0.0,1.0,1.0,get_random_metapopulation,300
36,1.0,5,0.07,0.0,1.0,1.0,get_random_metapopulation,300
37,1.0,10,0.07,0.0,1.0,1.0,get_random_metapopulation,300
38,1.0,15,0.07,0.0,1.0,1.0,get_random_metapopulation,300
39,1.0,20,0.07,0.0,1.0,1.0,get_random_metapopulation,300
40,1.0,25,0.07,0.0,1.0,1.0,get_random_metapopulation,300
41,1.0,5,0.08,0.0,1.0,1.0,get_random_metapopulation,300
42,1.0,10,0.08,0.0,1.0,1.0,get_random_metapopulation,300
