treatment,migration_rate,carrying_capacity,sigma,lambda,alpha,log_abundances,num_populations,summary_stat,fixed_metapopulation,metapopulation_generator,number_of_timesteps
1,0.0,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
2,0.01,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
3,0.02,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
4,0.03,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
5,0.04,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
6,0.05,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
7,0.06,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
8,0.07,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
9,0.08,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
10,0.09,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
11,0.1,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
12,0.11,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
13,0.12,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
14,0.13,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
15,0.14,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
16,0.15,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
17,0.16,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
18,0.17,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
19,0.18,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
20,0.19,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
21,0.2,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
22,0.21,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
23,0.22,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
24,0.23,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
25,0.24,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
26,0.25,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
27,0.26,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
28,0.27,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
29,0.28,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
30,0.29,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
31,0.3,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
32,0.31,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
33,0.32,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
34,0.33,2.0,0.1,1.0,0,true,20,PCC,false,get_random_metapopulation,300
