treatment,replicate,mean_cc
1,1,0.6295115606896068
1,2,0.6407855714577659
1,3,0.6783850277875628
1,4,0.6279645303686158
1,5,0.6246209259102806
1,6,0.581064643148703
1,7,0.5398168211034677
1,8,0.7086149770307262
1,9,0.5865634006558819
1,10,0.5727285377755374
1,11,0.6767611784205069
1,12,0.5625756031667539
1,13,0.6334958699258971
1,14,0.5740820219481109
1,15,0.4145256431861461
1,16,0.6097142110229287
1,17,0.7019711969953213
1,18,0.6056056036872877
1,19,0.7400591017948837
1,20,0.6617046831021323
1,21,0.4817311882632409
1,22,0.5241575383768121
1,23,0.4899455035214806
1,24,0.5883246228597743
1,25,0.6130144715352445
1,26,0.6336127594784845
1,27,0.6464652153708432
1,28,0.6169491010702233
1,29,0.8059542641997816
1,30,0.6038232092537129
1,31,0.6668454175599152
1,32,0.7614600196766446
1,33,0.5463174734280676
1,34,0.47226825153188373
1,35,0.4116678933972414
1,36,0.6736110433868258
1,37,0.6502022134739808
1,38,0.582353163925513
1,39,0.7182647721066264
1,40,0.5818032446239572
1,41,0.641883821555381
1,42,0.5675770563828443
1,43,0.6946649844341829
1,44,0.5495981213822583
1,45,0.7190322874647185
1,46,0.5519860917290418
1,47,0.6317660630976257
1,48,0.7551743226436293
1,49,0.6226564830323004
1,50,0.6582493525007276
2,1,0.622079820124225
2,2,0.7491092269548559
2,3,0.8381648924638907
2,4,0.661384094532522
2,5,0.7465570514601242
2,6,0.7494999542194494
2,7,0.7296223151757445
2,8,0.8498876603185643
2,9,0.7167473836202899
2,10,0.7052813909721387
2,11,0.7389698081067464
2,12,0.6545606674744534
2,13,0.8037286298021372
2,14,0.7096605237945733
2,15,0.8061908896180274
2,16,0.6594772763429241
2,17,0.7193720015328173
2,18,0.6423862421849436
2,19,0.6311883369954474
2,20,0.8083713623632552
2,21,0.8315746851497546
2,22,0.6227888626259741
2,23,0.576129527928748
2,24,0.465580612812485
2,25,0.7277670855548227
2,26,0.7601366864704189
2,27,0.8162338776403881
2,28,0.8027691118740227
2,29,0.7744892157551339
2,30,0.6662438612320011
2,31,0.5379363517465667
