treatment,lambda_distribution,variable_sigma_across_populations,sigma_distribution,carrying_capacity_distribution,alpha,migration_rate_distribution,variable_lambda_across_populations,num_populations,fixed_metapopulation,parameters_fixed_across_populations,metapopulation_generator,number_of_timesteps
1,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.01),Exponential{Float64}(θ=1.0),3,0.01,false,20,false,false,get_random_metapopulation,1000
2,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.1),Exponential{Float64}(θ=1.0),3,0.01,false,20,false,false,get_random_metapopulation,1000
3,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.5),Exponential{Float64}(θ=1.0),3,0.01,false,20,false,false,get_random_metapopulation,1000
4,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.01),Exponential{Float64}(θ=1.0),3,0.02,false,20,false,false,get_random_metapopulation,1000
5,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.1),Exponential{Float64}(θ=1.0),3,0.02,false,20,false,false,get_random_metapopulation,1000
6,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.5),Exponential{Float64}(θ=1.0),3,0.02,false,20,false,false,get_random_metapopulation,1000
7,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.01),Exponential{Float64}(θ=1.0),3,0.03,false,20,false,false,get_random_metapopulation,1000
8,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.1),Exponential{Float64}(θ=1.0),3,0.03,false,20,false,false,get_random_metapopulation,1000
9,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.5),Exponential{Float64}(θ=1.0),3,0.03,false,20,false,false,get_random_metapopulation,1000
10,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.01),Exponential{Float64}(θ=1.0),3,0.04,false,20,false,false,get_random_metapopulation,1000
11,Exponential{Float64}(θ=1.0),false,Exponential{Float64}(θ=0.1),Exponential{Float64}(θ=1.0),3,0.04,false,20,false,false,get_random_metapopulation,1000
